id,podjetje,ime_igre
9199,Bit Nurse,Ghostly Horizon
9200,Milestone S.r.l.,Ghostly Matter
9201,Jeklin Games,Ghostman: The Council Calamity
9202,RigidCore Games,Ghostory
9203,Pillow Fight,Ghosts of Miami
9204,MAG Studios,Ghostship Aftermath
9205,Superboss,Ghoststory
9206,Specter Game Studios,Ghoul Kid
9207,Serkan Bakar,Ghoulboy - Dark Sword of Goblin
9208,GHRIAN STUDIO,Ghrian
9209,Wreck Tangle Games,GiAnt
9210,"HandyGames, Black Forest Games",Giana Sisters 2D
9211,EuroVideo Medien,Giana Sisters: Dream Runners
9212,"HandyGames, Black Forest Games",Giana Sisters: Twisted Dreams
9213,"HandyGames, Black Forest Games",Giana Sisters: Twisted Dreams - Rise of the Owlverlord
9214,Giant Cranium,Giant Celebration
9215,Other Ocean Group,Giant Cop: Justice Above All
9216,"Code Horizon, PlayWay S.A.",Giant Machines 2017
9217,Atriagames,Gift of Life: Key of Solomon
9218,1C Entertainment,Gift of Parthax
9219,Ultima Games,Gift to Humanity
9220,Outgunned Games,Giga Girl
9221,Drixxel Soft,Gigachess
9222,Perfect World Entertainment,Gigantic
9223,Oblion Studio,Gil's Lucid Dreams
9224,"Dark Cellar Studios, LLC",Gilded
9225,Choice of Games,Gilded Rails
9226,8888888 LABS,Gimbal
9227,Oscar Rindel Peulicke,Gimbal Gravity
9228,Use Your Head - Games,Gimel Dimension
9229,BadLand Publishing,Ginger: Beyond the Crystal
9230,Qumaron,Gingerbread Story
9231,Samer Khatib (Snowconesolid Productions),Giraffe Town
9232,Kobra Studio,Girl Amazon Survival
9233,Laush Studio,Girl Blonde
9234,GirlMod,Girl Mod | GIRLS VR (create + pose in VR)
9235,Action Portal,Girl Rugby Dash
9236,JustE Publishing,Girl with a big SWORD
9237,meokigame,Girlfriend Cards
9238,Night Bushayers,Girlfriend Experience VR
9239,Aldorlea Games,Girlfriend Rescue
9240,Multiblender Games,Girls & sweets
9241,Gilrs Dance studio,Girls Dance
9242,Girls Dance Studio,Girls Dance VR
9243,Popcannibal,Girls Like Robots
9244,Top Hat Studios Inc,Girls and Dungeons
9245,morojenoe's empire,Girls and Quiz
9246,morojenoe's empire,Girls and Tests
9247,Chronic Logic,Gish
9248,Steppe Hare Studio,Give Me Your Coins
9249,Milo Games,Gizmo
9250,Gizmo VR LTD,GizmoVR Video Player
9251,Funbox Media Ltd,Glacier 3: The Meltdown
9252,Raptor Claw Games,Gladiator School
9253,ciwolsey,Gladiator Trainer
9254,CreativeOvenStudio,Gladiators Of The Arena
9255,4188,Gladio
9256,VirtualAge,Gladius | Gladiator VR Sword fighting
9257,"Nest Egg Games, LLC",Glaive
9258,Blue Sunset Games,Glaive: Brick Breaker
9259,Kurenaibook,Glare1more
9260,Onyx Lute,Glass Masquerade
9261,Art Of Adventures,Glass Painting: Winter Art
9262,From Soy Sauce LLC,Glass Wing
9263,SecureMix LLC,GlassWire
9264,Rotech Digital Ltd,Glassteroids
9265,Droid Riot,Glasswinged Ascension
9266,Emilios Manolidis,Gleaner Heights
9267,5D Realities,Glider Island
9268,Binary Logic,Glista
9269,Ekrcoaster,Glitch
9270,Cool and Normal Entertainment,Glitch Pets
9271,Ransacked Studios,Glitch's Trip
9272,Reboot Arcade,Glitchball
9273,Rémi Vansteelandt,Glitchbuster
9274,Green Man Gaming Publishing,Glitchrunners
9275,Space Budgie,Glitchspace
9276,Adult Swim Games,Glittermitten Grove
9277,Chronik Spartan,Glo
9278,Accordion Games,GloGo
9279,Aerosoft GmbH,Global ATC Simulator
9280,SubaGames,Global Adventures
9281,Immanitas Entertainment GmbH,Global Ops: Commando Libya
9282,ShortRound Games,Global Outbreak: Doomsday Edition
9283,Flying Interactive,Global Soccer Manager
9284,Forever Young Games,Global Soccer Manager 2017
9285,Forever Young Games,Global Soccer Manager 2018
9286,Gradoservice,GlobalMap Astro
9287,Travel And Play,Globe Geography 3D
9288,Treetop Crew,Globe Rush
9289,Hunchback Studio,Gloom
9290,Asmodee Digital,Gloom: Digital Edition
9291,"Warrior General Games, LLC",Glorch's Great Escape: Walking is for Chumps
9292,Black Eye Games,Gloria Victis
9293,Jehan Kobe Chang,Glorious Noon
9294,None,Glorkian Warrior: The Trials Of Glork
9295,SugGames,Glory & Honor
9296,Simply Squared,Glory Kingdom
9297,Quote Studios,Glory by Example
9298,Impetus Games,Glow
9299,WTFOMGames,Glow Ball - Not A Billiard Puzzle Game
9300,"13-lab, azimut team",Glow Chess
9301,MumboJumbo,Glowfish
9302,Atriagames,Glowing Sokoban
9303,Fastbird Dev Studio,Gluon
9304,inSPIRE Games,Glyphs Apprentice
9305,PalfreyGames,Gnome Light
9306,Prismic Studios,Gnomelings: Migration
9307,"Wevr, Inc., Reality One",Gnomes & Goblins (preview)
9308,8Floor,Gnomes Garden
9309,8Floor,Gnomes Garden 2
9310,8Floor,Gnomes Garden 3: The thief of castles
9311,8Floor,Gnomes Garden Lost King
9312,8Floor,Gnomes Garden New home
9313,8floor,Gnomes Garden: Christmas Story
9314,8floor,Gnomes Garden: Halloween
9315,Prismic Studios LLC,Gnomes Vs. Fairies: Greckel's Quest
9316,Robotronic Games,Gnomoria
9317,8Floor,Gnumz: Masters of Defense
9318,MeatAtom,Go Away My Fat
9319,Joe Chisholm,Go For Launch: Mercury
9320,Hexagon Games,Go Go Electric Samurai
9321,Couchgaming,Go Go Poncho!
9322,Oblix LLC,Go Guess
9323,Synter Games,Go Home - Rage incoming
9324,Fire hose Games,Go Home Dinosaurs!
9325,Tero Lunkka,Go Kart Survival
9326,André Bertaglia,Go Mission: Space Travel
9327,Impostor Cat Games,Go Morse Go! Arcade Edition
9328,SimRed,Go Outside Simulator
9329,Touchfight Games LLC,Go To Bed: Survive The Night
9330,Black Deck Crew,Go to IT
9331,MangaGamer,Go! Go! Nippon! ~My First Trip to Japan~
9332,OtakuMaker SARL,Go! Go! Radio : 8-Bit Edition
9333,JDRumble,Go-Kart Racing
9334,GameChanger Studio,GoBlock's Impossible Medley
9335,Nine Dots Studio,GoD Factory: Wingmen
9336,Digital Dog Games,GoFetch
9337,Raw Fury,GoNNER
9338,MediaSpark,GoVenture MICRO BUSINESS
9339,Blue Goji,GoWings Safari
9340,Anchor Reality,Goalie Challenge VR
9341,Hailstone Games,Goalie VR
9342,DigitalBadger Design,GoalkeepVr
9343,VDimension,Goalkeeper Legend
9344,SneakyBox,Goalkeeper VR Challenge
9345,RunByCoffee,Goaltender VR
9346,Vyacheslav Shilikhin,Goat Life
9347,Coffee Stain Publishing,Goat Simulator
9348,Studio Canvas,GoatPunks
9349,Degica,Goats on a Bridge
9350,Elcaelum,Gobernators (Parodia política peruana)
9351,CubeInSquare,Goblet of Maya
9352,Alawar Entertainment,Goblin Defenders: Steel‘n’ Wood
9353,Minus2,Goblin Gearshop
9354,Subjunctive Software,Goblin Harvest - The Mighty Quest
9355,Nemeton Singularity Simulations,Goblin Storm
9356,Nikola Bulj,Goblin and Coins
9357,CYCLOPS,Goblin's Shop
9358,Los Exaltados,Goblins Keep Coming - Tower Defense
9359,"Psychic Games Ltd., Goblin Portal",Goblins and Grottos
9360,Crytivo,Goblins of Elderstone
9361,Creative Freaks Inc.,Gochi-Show! -How To Learn Japanese Cooking Game-
9362,Creative Freaks Inc.,Gochi-Show! for Girls -How To Learn Japanese Cooking Game-
9363,Mad Labyrinth Studios LLC,God Awe-full Clicker
9364,ATLUS USA,God Mode
9365,Reactor Entertainment,God Of Arrows VR
9366,RDavis,God Of Thunder
9367,Mateusz Kulis,God Simulator
9368,God Test,God Test
9369,Displacement Studios,God Vs Zombies
9370,Dimensional Studio,God is a Cube: Programming Robot Cubes
9371,Axyos Games,God of Failure
9372,"Playmous, Plug In Digital",God of Light: Remastered
9373,Mega Dwarf Inc.,God of Word
9374,Erebus,God's Basement
9375,Ultimate Games S.A.,Godly Corp
9376,Godot Engine,Godot Engine
9377,Devolver Digital,Gods Will Be Watching
9378,Viking Tao,Gods and Idols
9379,Xuanjin Studio,Gods and Kings
9380,Chad Meffert,Gods and Nemesis: of Ghosts from Dragons
9381,Crow's Key Studios,Gods of the Fallen Land
9382,Microids Indie,Gods vs Humans
9383,22cans,Godus Wars
9384,Square Enix,Goetia
9385,Bit2Good Ug,Goggles - World of Vaporia
9386,Slayers' Stronghold Studios,Going Astray
9387,Nowhere Town,Going Nowhere: The Dream
9388,Conrad Nelson,Going Up
9389,Maksim Chudaev,Goinund
9390,West Forest Games,Gold Crusader
9391,Bullid Games,Gold Digger Maze
9392,Etqan Company,Gold Magic 800
9393,WTFOMGames,Gold Rush In The Oort Cloud
9394,Sunlight Games,Gold Rush! 2
9395,Sunlight Games,Gold Rush! Anniversary
9396,"Code Horizon, PlayWay S.A.",Gold Rush: The Game
9397,Primitive Studio,Gold key
9398,SEGA,Golden Axe
9399,SEGA,Golden Axe II
9400,SEGA,Golden Axe III
9401,AFBIK Studio,Golden Dungeons
9402,PsychoFlux Entertainment,Golden Hornet
9403,Vulgat,Golden Krone Hotel
9404,MissingNo Studio,Golden Panic
9405,ELYLAND INVESTMENT COMPANY Ltd,Golden Rush
9406,AEY Inc.,Golden Swords
9407,Criptomedia Studios,Golden8bits
9408,Alaric von Teplitz,Goldmine
9409,Longbow Games,Golem
9410,AAD Productions,Golem Creation Kit
9411,"Laser Guided Games, LLC",Golem Gates
9412,Usa Com,Golem Rush
9413,RewindApp,Golf 2D
9414,Big Fish Games,Golf Cart Drive
9415,TuneTheDev,Golf Galore
9416,Perfuse Entertainment,Golf It!
9417,Afterburn,Golf Peaks
9418,Marklar,Golf Pro VR
9419,Team17 Digital Ltd,Golf With Your Friends
9420,Devolver Digital,Golf for Workgroups
9421,Majorariatto,Golfing Over It with Alva Majo
9422,Octopus Tree,Goliath
9423,Daedalic Entertainment,Gomo
9424,Marc Ellis,Gon' E-Choo!
9425,Tom-Erik Nielsen,Gone Astray
9426,Quiet Bay Studio,Gone Fireflies
9427,Fullbright,Gone Home
9428,Sometimes You,Gone In November
9429,BoyAndWitch Studio,Gone with the Demon
9430,Gonio VR,Gonio VR
9431,GonzoVR,GonzoVR
9432,Toka Loka Games,Goo Saga
9433,"Waveform Logic, Inc",Gooblins
9434,FastGame,Good Boy!
9435,Cozy Game Pals,Good Doggo
9436,GamerG,Good Girl
9437,Nicholas Rizzo,Good Morning
9438,TapBlaze,"Good Pizza, Great Pizza"
9439,Pyrodactyl,Good Robot
9440,Arational Entertainment,GoodColor
9441,Daedalic Entertainment,Goodbye Deponia
9442,Siberian Digital,Goodbye My King
9443,Perfect Square Studios,Goodnight Butcher
9444,Google,Google Earth VR
9445,Google Inc.,Google Spotlight Stories: Age of Sail
9446,Google Inc.,Google Spotlight Stories: Back to the Moon
9447,Google Inc.,Google Spotlight Stories: On Ice
9448,Google Inc.,Google Spotlight Stories: Pearl
9449,Google Inc.,Google Spotlight Stories: Piggy
9450,Google Inc.,Google Spotlight Stories: Rain or Shine
9451,Google Inc.,Google Spotlight Stories: Son of Jaguar
9452,Google Inc.,Google Spotlight Stories: Sonaria
9453,Google Inc.,Google Spotlight Stories: Special Delivery
9454,GameMill Entertainment,Goosebumps: The Game
9455,Zloy Krot Studio,Gopnik Simulator
9456,AmusedSloth,Gorescript
9457,Annapurna Interactive,Gorogoa
9458,Epopeia Games,Goroons
9459,Demigiant,Goscurry
9460,ARC SYSTEM WORKS,Gotcha Racing 2nd
9461,Warner Bros. Interactive Entertainment,Gotham City Impostors Free to Play
9462,THQ Nordic,Gothic 3
9463,THQ Nordic,Gothic 3: Forsaken Gods Enhanced Edition
9464,HeHeHe! Productions,Gothicc Breaker
9465,Dire Nerd Studios,Gotta Go
9466,Ambiera,Government Simulator
9467,Youdagames,Governor of Poker 2
9468,Youdagames,Governor of Poker 2 - Premium Edition
9469,"Azerion, Youda Games Holding B.V.",Governor of Poker 3
9470,Kamina Dimension,Grab the Bottle
9471,Shadow Factory,GrabBag
9472,Team Ninja Thumbs,Grabity
9473,Cybergrotex,Grace of Zordan
9474,Vertex Pop,Graceful Explosion Machine
9475,For All To Play,Grail to the Thief
9476,Gran Skrea Online,Gran Skrea Online
9477,Heliocentric Studios,Gran Vitreous
9478,Choice of Games,Grand Academy for Future Villains
9479,Kalypso Media Digital,Grand Ages: Medieval
9480,Kalypso Media Digital,Grand Ages: Rome
9481,Kalypso Media Digital,Grand Ages: Rome - Reign of Augustus
9482,Ogopogoid Entertainment,Grand Class Melee 2
9483,Ignishot,Grand Designer
9484,Tendril Studio,Grand Expanse
9485,Studio Crown Crest,Grand Kokoro - Episode 1
9486,WolfgangIs,Grand Pigeon's Duty
9487,W.T.B.,Grand Pskov Story
9488,Rockstar Games,Grand Theft Auto
9489,Rockstar Games,Grand Theft Auto 2
9490,Rockstar Games,Grand Theft Auto III
9491,Rockstar Games,Grand Theft Auto IV
9492,Rockstar Games,Grand Theft Auto IV: Complete Edition
9493,Rockstar Games,Grand Theft Auto V
9494,Rockstar Games,Grand Theft Auto: Episodes from Liberty City
9495,Rockstar Games,Grand Theft Auto: San Andreas
9496,Rockstar Games,Grand Theft Auto: Vice City
9497,"GungHo Online Entertainment America, Inc.",Grandia II Anniversary Edition
9498,Cheesecake,Grandpa
9499,Tivola,Grandpa and the Zombies
9500,"Kivano, Kurki.games",Grandpa's Table
9501,DVloper,Granny
9502,Lazy Morning Games,Granny's Grantastic Granventure
9503,Primitive Studio,Grape Jelly
9504,"Midnight City, Majesco Entertainment",Grapple
9505,GalaxyTrail,Grapple Force Rena
9506,800 North,Grappledrome
9507,usanik,Grass Cutter - Mutated Lawns
9508,AAAGAMES,Grass Max
9509,Daniel Davies,Grass Simulator
9510,Positech Games,Gratuitous Space Battles
9511,Positech Games,Gratuitous Space Battles 2
9512,Positech Games,Gratuitous Tank Battles
9513,Ripknot Systems,Grav Blazer
9514,Ripknot Systems,Grav Blazer Squared
9515,Atriagames,Grav Grav Gravity
9516,From Nothing Game Studios,GravBlocks
9517,Use Your Head - Games,GravNewton
9518,TinyCrease,GravPool
9519,Skeleton Crew Studios,Grave Chase
9520,Spotted Shark Studio,Grave Danger: Ultimate Edition
9521,Big Fish Games,Grave Mania: Pandemic Pandemonium
9522,Big Fish Games,Grave Mania: Undead Fever
9523,Ideonic,Grave Matters
9524,Dark Room Games,Grave Prosperity - part 1
9525,"Broken Window Studios, LLC",Grave: VR Prologue
9526,Herbi Games,GraveRun
9527,3D Realms,Graveball
9528,Milestone S.r.l.,Gravel
9529,"Indispensable Studios, Dmitry Petyakin",Graveyard Birds
9530,tinyBuild,Graveyard Keeper
9531,"Galavalomka Games, Aslan Game Studio",Graveyard Shift
9532,Four Mans Games L.L.C.,Graveyard Smash
9533,Vertigo Gaming Inc.,Gravi
9534,IDALGAME,GraviSound
9535,Graviteam,Graviteam Tactics: Mius-Front
9536,Graviteam,Graviteam Tactics: Operation Star
9537,Dark Castle Software,Gravitron 2
9538,Wales Interactive,Gravity Badgers
9539,RewindApp,Gravity Ball
9540,Quiet River,Gravity Cat
9541,NovaWake Studios,Gravity Compass
9542,DiPi Games,Gravity Den
9543,Faris Mohammed,Gravity Error
9544,Ivy Games,Gravity Ghost
9545,astragon Entertainment,Gravity Island
9546,Laush Studio,Gravity Jump
9547,Mark Schramm,Gravity Lab - Gravitational Testing Facility & Observations
9548,Dagestan Technology,Gravity Leo
9549,Tero Lunkka,Gravity Light
9550,Light Road Games,Gravity Quest
9551,Wargaming Group Limited,Gravity Shot
9552,Gravity Sketch Limited,Gravity Sketch
9553,Plug In Digital,Gravity Spin
9554,Black Potion,Gravity Wars
9555,stariy8419,Gravity Wars: Black Hole
9556,Black Engine Games,Gravity Well
9557,Dexion Games,Gravity puzzles
9558,Firehawk Studios,Gravitycers
9559,Red twice potato,Gray Cat
9560,Interactive Stone,Gray Dawn
9561,Viva Media Inc,Gray Matter
9562,"Green Willow Games, LLC","Gray Skies, Dark Waters"
9563,Henteko Doujin,Graze Counter
9564,Rubicon Development,Great Big War Game
9565,SakuraGame,Great Hero's Beard
9566,Simulators Live,Great Hunt: North America
9567,Ncube Inc.,Great Mountain Experience
9568,Mahjong Knight,Great Old One - Arrival
9569,Ripatti Software,Great Permutator
9570,3DA,Great Pyramid VR
9571,Blue Whale Games,Great War 1914
9572,Fedora Collective,Great eSports Manager
9573,"TCH International Group, LLC",Greece Defense TD
9574,Vanguard Entertainment Group,Greed Corp
9575,Headup Games,Greed: Black Border
9576,HH-Games,Greed: The Mad Scientist
9577,Shanghai Lusion Computer Software Co. Ltd.,Greedy Crush
9578,Tio Atum,Greedy Guns
9579,LEVER Software,Greedy Trolley
9580,AJJA,Green Blood
9581,Atriagames,Green Cat
9582,4Fufelz,Green Elephant 2D
9583,iFun4all S.A.,Green Game: TimeSwapper
9584,Creepy Jar,Green Hell
9585,Absolutist Ltd.,Green Moon
9586,Hooligans Entertainment,Green Moon 2
9587,Immanitas Entertainment,Green Ranch
9588,Garnudo Games,Greeng 2D Dungeon
9589,Apple Dash,Greenspawn Restaurant
9590,AO2Game,Greenwood the Last Ritual
9591,Charlie Behan,Greetings
9592,CS Squared Games,Gremlin Invasion: Survivor
9593,The Merchant Guild of Rund (Limited),"Gremlins, Inc."
9594,Touch Orchestra,Grenade Madness
9595,Deion Mobile,Grey Cubes
9596,Grey Box,Grey Goo
9597,Loading Home,Grey Hack
9598,Blackturn Ltd,Grey Phobia
9599,A.Lepunov,Grey Zone
9600,EQ Games,Greyfox RPG
9601,Strategic Designs Ltd.,Greyhound Manager 2 Rebooted
9602,Strategic Designs Ltd.,Greyhound Manager 2 Rebooted
9603,David Walters,Grid Cartographer 4
9604,KBS Games,Grid Games: Color Coded
9605,Studio Cypix,Grid Gunner
9606,"Angry Hangar Games, LLC",Grid Masters
9607,iPOL,GridVR
9608,Wareberd,Gridberd
9609,Bill and Eli Productions,Gridiron Solitaire
9610,Llamasoft LTD,Gridrunner Revolution
9611,DopplerFrog,Gridworld
9612,CasGame,Griefer
9613,Crate Entertainment,Grim Dawn
9614,Punkster Inc.,Grim Dragons
9615,Big Fish Games,Grim Facade: A Wealth of Betrayal Collector's Edition
9616,Big Fish Games,Grim Facade: Mystery of Venice Collector’s Edition
9617,Big Fish Games,Grim Facade: Sinister Obsession Collector’s Edition
9618,Big Fish Games,Grim Facade: The Artist and The Pretender Collector's Edition
9619,Double Fine Productions,Grim Fandango Remastered
9620,Artifex Mundi,Grim Legends 2: Song of the Dark Swan
9621,Artifex Mundi,Grim Legends 3: The Dark City
9622,Artifex Mundi,Grim Legends: The Forsaken Bride
9623,Edym Pixels,Grim Nights
9624,Grimoire Games,Grim Seventh
9625,Big Fish Games,Grim Tales: Bloody Mary Collector's Edition
9626,Big Fish Games,Grim Tales: The Bride Collector's Edition
9627,Big Fish Games,Grim Tales: The Legacy Collector's Edition
9628,Big Fish Games,Grim Tales: The Stone Queen Collector's Edition
9629,Big Fish Games,Grim Tales: The Wishes Collector's Edition
9630,Wonderbox Games,Grim Town: Battle Tales
9631,Self-publishing,Grim Wanderings
9632,aftermonk,Grimante
9633,Forever Entertainment S. A.,Grimind
9634,Spicyhorse Games,Grimm
9635,Spritewrench,Grimm & Tonic
9636,GamesCo,Grimm: Dark Legacy
9637,"Headup, Whisper Games",Grimmwood - They Come at Night
9638,Headup Games,Grimmwood Open Beta
9639,Golden Era Games,Grimoire : Heralds of the Winged Exemplar (V2)
9640,Warfare Studios,Grimoire Chronicles
9641,Omniconnection,Grimoire: Manastorm
9642,Pohjoinen Pelinkehitys ry,Grimrush
9643,Adam Wells,Grimsfield
9644,Michael Schade,Grimtale Island
9645,Albash Bokhari,Gripper's Adventure
9646,StevenHarmonGames,Griptape Backbone
9647,Frontwing USA,Grisaia Phantom Trigger Vol.1
9648,Frontwing USA,Grisaia Phantom Trigger Vol.2
9649,Frontwing USA,Grisaia Phantom Trigger Vol.3
9650,Frontwing USA,Grisaia Phantom Trigger Vol.4
9651,Frontwing USA,Grisaia Phantom Trigger Vol.5
9652,OD.,Gritty Bit VR
9653,vadimalexepta,Grizzly Adventure
9654,The_Kiddy,Grizzly Valley
9655,SakuraGame,Grobda Remix
9656,Indigo Studios,Groggers!
9657,Evan Hecht,Grompula
9658,Teamkerberos,Grooming Adventure
9659,"Degica, TAITO CORP.",Groove Coaster
9660,Music Breath,Groove Studio
9661,Headup,Grotesque Tactics 2 – Dungeons and Donuts
9662,Headup,Grotesque Tactics: Evil Heroes
9663,Concrete Games,Grotoro
9664,Anatoliy Loginovskikh,Grottesco Absurdus
9665,UnitedIndie,Ground Breakers
9666,Rebellion,Ground Control II: Operation Exodus
9667,Kerberos Productions Inc.,Ground Pounders
9668,Astrofish Games Ltd,Ground Runner: Trials
9669,Zotdinex,Ground Under
9670,Root121 Games,Groundless
9671,Mure VR,Grove - VR Browsing Experience
9672,Ubisoft,Grow Home
9673,Ubisoft,Grow Up
9674,Smudged Cat Games Ltd,Growing Pains
9675,Cyber Rhino Studios,Gryphon Knight Epic
9676,DrinkBox Studios,Guacamelee! 2
9677,DrinkBox Studios,Guacamelee! Gold Edition
9678,DrinkBox Studios,Guacamelee! Super Turbo Championship Edition
9679,GAMEPUMP,Guano Gladiators
9680,Wonder Games,Guard of Wonderland
9681,Wonder Games,Guard of Wonderland VR
9682,Exodus Software,Guardian
9683,Vidas Salavejus,Guardian Of December
9684,"Bamboo Secrets Co.,Limited",Guardian of Immortal Mountain(仙山守卫者)
9685,Himi Games,Guardian of The Demon Valley
9686,重庆焱玩网络科技有限公司,Guardian war VR
9687,NDMX Game Studios,Guardian's Oath
9688,Petroglyph,Guardians of Graxia
9689,Yeronimo Apps,Guardians of Life VR
