ID,Ime,Drzava,Datum_ustanovitve,Opis
349,Eighting,Japan,1993,Acquired by COLOPL
350,Eko Software,France,1999,Acquired by Bigben Interactive (latterly Nacon) in 2018
351,Electric Dreams Software,UK,1985,Defunct in 1989.
352,Electric Transit,United States,1985,Defunct in 1987.
353,Electro Brain,United States,1990,Defunct in 1998.
354,Electronic Arts,United States,1982,Developer/publisher/distributor
355,Electronic Arts Victor,Japan,1993,Joint venture of Electronic Arts and Victor Interactive. Defunct in 2003.
356,Elemental Games,Russia,1999,Defunct in 2015
357,Elite Systems,UK,1984,
358,Emerald Software,Ireland,1988,Defunct in 1991.
359,Empire Interactive,UK,1987,Defunct in 2009.
360,En Masse Entertainment,United States,2010,Subsidiary of Krafton Game Union; closed in 2020.[1]
361,"Encore, Inc.",United States,1994,"Acquired by Speed Commerce in 2002, WYNIT Distribution LLC in 2014. Encore acquired Viva Media."
362,Engine Software,Netherlands,1995,Also middleware developer
363,English Software,UK,1982,Defunct in 1987.
364,Enix,Japan,1975,Merged with Square as Square Enix.
365,Enlight Software,United States,1993,
366,Ensemble Studios,United States,1995,Former subsidiary of Microsoft Studios
367,Enterbrain,Japan,1987,Division of Kadokawa Corporation; its game business was merged into Kadokawa Games in 2009.
368,Entertainment Software Publishing,Japan,1997,"Also known as ESP. Acquired by D3 Publisher, which continued to use it as a label until 2010."
369,Eolith,South Korea,1996,Defunct in 2005.
370,Eon Digital Entertainment,UK,2000,Defunct in 2002.
371,Epic Games,United States,1991,"Developer, publisher, and distributor"
372,Epicenter Studios,United States,2007,
373,Epics,Japan,1987,
374,Epoch Co.,Japan,1958,No longer publishes video games.
375,Epyx,United States,1978,"Developer/publisher, defunct 1993"
376,Eugen Systems,France,2000,
377,Eurocom,United Kingdom,1988,
378,Europress,UK,1965,Acquired by Hasbro Interactive in 1999.
379,Eushully,Japan,1998,Team within Arkham Products until 2005; label of Eukleia since then.
380,Evolution Studios,United Kingdom,1999,Division of SIE Worldwide Studios and subsidiary of Sony Computer Entertainment; defunct in 2016
381,Examu,Japan,2007,Their business operations were suspended in 2020 and their business was taken over by Team Arcana.[17]
382,Exidy,United States,1974,Defunct in 1989.
383,Eyedentity Games,South Korea,2007,Acquired by Shanda Games (currently Shengqu Games) in 2010
